0,1,2,3,4
"Fair value changes
recorded in other
comprehensive
income",,,,
Time deposits Level 2  2628  0  0  2628  2628  0,,,,
Government bonds Level 2 38106,233 679,,37660 1993 35667,
"Corporate debt
securities Level 2 22457 112 637 21932 0 21932",,,,
"Mortgage-backed and
asset-backed
securities Level 2 17243",88 634,,16697 0 16697,
"Total investments
with fair value
change reflected in
other
comprehensive
income1 80434 433 1950 78917 4621 74296",,,,
"Fair value
adjustments
recorded in net
income",,,,
Money market funds Level 1 6480 6480 0,,,,
"Current marketable Level 1
equity securities2",,,4282 0 4282,
Mutual funds Level 2 311 0 311,,,,
Government bonds Level 2,,,1952 347 1605,
"Corporate debt
securities Level 2 3782 91 3691",,,,
"Mortgage-backed and
asset-backed
securities Level 2",,,2683 0 2683,
"Total investments
with fair value
change recorded in
net income 19490 6918 12572",,,,
Cash,,,0,12509 0
Total  80434  433  1950  98407  24048  86868,,,,
